city_region,district,village
BEKASI,PEBAYURAN,KARANGHAUR
KOTA BOGOR,TANAH SEREAL,KEBONPEDES
KOTA BEKASI,MUSTIKAJAYA,MUSTIKA JAYA
KOTA BEKASI,MEDAN SATRIA,HARAPAN MULYA
KOTA BEKASI,MEDAN SATRIA,KALI BARU
KOTA BEKASI,BEKASI BARAT,BINTARA JAYA
TANGERANG,SUKAMULYA,SUKA MULYA
TANGERANG,JAMBE,SUKA MANAH
TANGERANG,CURUG,CUKANG GALIH
TANGERANG,RAJEG,RAJEGMULYA
TANGERANG,PAKUHAJI,BUNISARI
KOTA TANGERANG,LARANGAN,KEREO SELATAN
KOTA TANGERANG SELATAN,SERPONG,RAWA MEKAR JAYA
KOTA TANGERANG SELATAN,CIPUTAT,SAWAH
BOGOR,CIBUNGBULANG,CIARUTEN UDIK
BOGOR,CARIU,CIBATU TIGA
KOTA JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN
KOTA JAKARTA SELATAN,PASAR MINGGU,JATI PADANG
KOTA JAKARTA SELATAN,CILANDAK,CILANDAK BARAT
KOTA JAKARTA SELATAN,TEBET,MANGGARAI SELATAN
KOTA JAKARTA BARAT,TAMAN SARI,MANGGA BESAR
KOTA JAKARTA TIMUR,PULO GADUNG,JATI
KOTA JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN
KOTA JAKARTA TIMUR,MATRAMAN,PISANGAN BARU
KOTA JAKARTA PUSAT,GAMBIR,KEBON KELAPA
BOGOR,PAMIJAHAN,GUNUNG BUNDER 2
TANGERANG,CISOKA,KARANGHARJA
TANGERANG,TIGARAKSA,MATA GARA
TANGERANG,SINDANG JAYA,SINDANG SONO
TANGERANG,MAUK,JATI WARINGIN
KOTA TANGERANG SELATAN,PAMULANG,BAMBU APUS
BOGOR,JASINGA,TEGAL WANGI
BEKASI,SETU,CIKARAGEMAN
BEKASI,MUARA GEMBONG,PANTAIMEKAR
BEKASI,CIKARANG SELATAN,SERANG
BEKASI,CIBARUSAH,RIDOMANAH
BEKASI,BOJONGMANGU,SUKAMUKTI
BEKASI,CIKARANG UTARA,WANGUNHARJA
BEKASI,CIKARANG BARAT,KALIJAYA
BEKASI,TAMBELANG,SUKAWIJAYA
BEKASI,BABELAN,BAHAGIA
BEKASI,BABELAN,BUNIBAKTI
BEKASI,BABELAN,PANTAI HURIP
BEKASI,SUKAWANGI,SUKADAYA
KOTA BOGOR,BOGOR BARAT,CURUGMEKAR
KOTA BOGOR,TANAH SEREAL,KAYUMANIS
KOTA BEKASI,BEKASI TIMUR,BEKASI JAYA
KOTA BEKASI,RAWALUMBU,SEPANJANG JAYA
KOTA DEPOK,CINERE,PANGKALANJATI BARU
KOTA JAKARTA BARAT,TAMBORA,TANAH SEREAL
KOTA JAKARTA SELATAN,JAGAKARSA,CIGANJUR
KOTA JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN
KOTA JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI
KOTA JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA
KOTA JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI
KOTA JAKARTA TIMUR,CIRACAS,CIBUBUR
KOTA JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK
KOTA JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA
KOTA JAKARTA TIMUR,CAKUNG,UJUNG MENTENG
KOTA JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM
KOTA JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH
KOTA JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG
KOTA JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN
KOTA JAKARTA UTARA,DANAU SUNTER DLL,DANAU SUNTER DLL
BOGOR,TENJOLAYA,TAPOS 2
BOGOR,DRAMAGA,SINAR SARI
BOGOR,CIGUDEG,TEGALEGA
BOGOR,RANCA BUNGUR,PASIR GAOK
TANGERANG,CISOKA,JEUNG JING
TANGERANG,KEMIRI,PATRA MANGGALA
TANGERANG,TELUKNAGA,KEBON CAU
TANGERANG,TELUKNAGA,L E M O
BEKASI,SERANG BARU,NAGACIPTA
BEKASI,CIBITUNG,MUKTIWARI
BEKASI,TAMBUN SELATAN,SETIAMEKAR
KOTA BEKASI,BEKASI BARAT,KOTA BARU
KOTA BEKASI,BEKASI SELATAN,JAKA SETIA
KOTA BEKASI,MEDAN SATRIA,MEDAN SATRIA
KOTA DEPOK,CINERE,PANGKALANJATI
KOTA JAKARTA BARAT,TAMBORA,DURI UTARA
KOTA JAKARTA PUSAT,TANAH ABANG,PETAMBURAN
KOTA JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH
KOTA JAKARTA SELATAN,TEBET,MENTENG DALAM
KOTA JAKARTA TIMUR,CIPAYUNG,PONDOK RANGGON
KOTA JAKARTA TIMUR,CIRACAS,RAMBUTAN
KOTA JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR
KOTA JAKARTA TIMUR,DUREN SAWIT,MALAKA SARI
KOTA JAKARTA TIMUR,CAKUNG,PULO GEBANG
KOTA JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN
KOTA JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA
KOTA JAKARTA BARAT,CENGKARENG,KAPUK
KOTA JAKARTA UTARA,TANJUNG PRIOK,WARAKAS
KOTA JAKARTA UTARA,CILINCING,SUKA PURA
KOTA JAKARTA UTARA,DANAU SUNTER,DANAU SUNTER
BOGOR,PAMIJAHAN,GUNUNG MENYAN
BOGOR,CIAMPEA,BOJONG RANGKAS
BOGOR,CIBINONG,HARAPAN JAYA
BOGOR,BOJONG GEDE,WARINGIN JAYA
BOGOR,RANCA BUNGUR,BANTAR SARI
TANGERANG,CIKUPA,SUKA NAGARA
TANGERANG,CIKUPA,TALAGA SARI
TANGERANG,CURUG,SUKA BAKTI
TANGERANG,RAJEG,SUKA TANI
TANGERANG,KOSAMBI,D A D A P
KOTA TANGERANG,KARANG TENGAH,PEDURENAN
KOTA TANGERANG,BATUCEPER,PORISGAGA
KOTA TANGERANG SELATAN,PONDOK AREN,JURANG MANGGU BARAT
BEKASI,PEBAYURAN,KARANGJAYA
BEKASI,SERANG BARU,JAYAMULYA
BEKASI,KARANGBAHAGIA,KARANGSENTOSA
BEKASI,CIKARANG PUSAT,JAYAMUKTI
BEKASI,CIKARANG UTARA,HARJAMEKAR
BEKASI,KARANGBAHAGIA,KARANGANYAR
BEKASI,CIBITUNG,WANASARI
BEKASI,CIKARANG BARAT,SUKADANAU
BEKASI,TAMBUN UTARA,SRIAMUR
BEKASI,SUKATANI,SUKADARMA
BEKASI,TARUMAJAYA,SAMUDRAJAYA
BEKASI,CABANGBUNGIN,SETIALAKSANA
BEKASI,CABANGBUNGIN,SETIAJAYA
KOTA BOGOR,BOGOR UTARA,KEDUNGHALANG
KOTA BEKASI,BANTARGEBANG,SUMUR BATU
